cert,name,namehcr,city,stalp,zip,bkclass,charter_type,estymd,dateupdt,asset,dep,eq,netinc,roa,roe,regagnt
10157,Liberty Community Bank of Colorado Springs,Liberty Community Bank of Colorado Springs,Colorado Springs,CO,59174,N,Commercial,2007-11-09,2025-03-31,2917053070,2547216710,357874837,37395899,1.282,10.449,OCC
10158,Heritage National Bank of New York,Heritage National Bank of New York,New York,NY,18300,SA,Savings,1977-11-22,2025-03-31,828449,641065,56755,11369,1.372,20.032,OCC
10159,Community Federal Savings of Portland,Community Federal Savings of Portland,Portland,OR,70238,N,Commercial,1872-01-04,2025-03-31,9299939,8050666,1066479,69747,0.75,6.54,OCC
10160,Pioneer Trust Company of Anchorage,Pioneer Trust Company of Anchorage,Anchorage,AK,95054,N,Commercial,1924-02-12,2025-03-31,76072,63726,9052,485,0.638,5.358,OCC
10161,National Community Bank of Atlanta,National Community Bank of Atlanta,Atlanta,GA,25806,N,Commercial,1862-01-23,2025-03-31,891918,741270,71411,5011,0.562,7.017,OCC
10162,Central Trust Company of Newark,Central Trust Company of Newark,Newark,NJ,89995,SM,Commercial,1896-02-17,2025-03-31,31708,22845,4212,445,1.405,10.565,FRB
10163,Patriot Vermont Banking Group,Patriot Vermont Banking Group,Burlington,VT,42477,SA,Savings,1949-07-11,2025-03-31,39840,32796,3706,158,0.397,4.263,OCC
10164,Plains Louisiana National Bank,Capital One Financial Corp.,New Orleans,LA,74865,SM,Commercial,1960-05-21,2025-03-31,856211,732740,112055,8805,1.028,7.858,FRB
10165,Pioneer Federal Savings of Omaha,Synovus Financial Corp.,Omaha,NE,18851,SB,Savings,1904-08-25,2025-03-31,653948,459341,64733,5711,0.873,8.822,FDIC
10166,Federal Alabama Federal Savings,Truist Financial Corp.,Mobile,AL,30365,NM,Commercial,1931-02-10,2025-03-31,72163,59586,7571,763,1.059,10.078,FDIC
10167,Farmers Community Bank of Portland,PNC Financial Services,Portland,OR,25655,SM,Commercial,1976-10-20,2025-03-31,781406,557316,96736,2640,0.338,2.729,FRB
10168,Central Trust Company of Mobile,Central Trust Company of Mobile,Mobile,AL,78662,NM,Commercial,1867-06-26,2025-03-31,65443,56058,5891,412,0.63,6.994,FDIC
10169,Federal Federal Bank of San Diego,JPMorgan Chase & Co.,San Diego,CA,42053,NM,Commercial,1918-12-17,2025-03-31,635593,508424,64869,7107,1.118,10.956,FDIC
10170,Mountain Arkansas Savings Bank,Bank of America Corp.,Little Rock,AR,33507,NM,Commercial,1879-10-12,2025-03-31,24635,21747,2590,333,1.352,12.857,FDIC
10171,Southern Financial of Fort Wayne,Citizens Financial Group,Fort Wayne,IN,87554,SB,Savings,1937-12-20,2025-03-31,19251149,16810227,1898969,152136,0.79,8.012,FDIC
10172,Eastern Federal Savings of Cleveland,Eastern Federal Savings of Cleveland,Cleveland,OH,50306,N,Commercial,1860-11-13,2025-03-31,934638,655438,87837,14987,1.604,17.062,OCC
10173,Commerce Financial of Hartford,Commerce Financial of Hartford,Hartford,CT,76247,SA,Savings,1977-12-03,2025-03-31,27850,20288,2301,239,0.861,10.387,OCC
10174,Plains Florida Community Bank,Truist Financial Corp.,Miami,FL,27840,SM,Commercial,1975-05-08,2025-03-31,556112,403816,72881,8514,1.531,11.682,FRB
10175,Pioneer South Dakota Trust Company,Pioneer South Dakota Trust Company,Sioux Falls,SD,38183,NM,Commercial,1937-12-23,2025-03-31,61160,49367,5654,239,0.392,4.227,FDIC
10176,Liberty National Bank of Detroit,U.S. Bancorp,Detroit,MI,25919,NM,Commercial,1923-02-15,2025-03-31,63183031,52785421,3020465,583509,0.924,19.319,FDIC
10177,National Alabama Federal Savings,National Alabama Federal Savings,Mobile,AL,53456,SM,Commercial,1973-03-03,2025-03-31,7245146,6430175,834402,130083,1.795,15.59,FRB
10178,National Delaware Banking Group,National Delaware Banking Group,Wilmington,DE,42215,SB,Savings,1898-01-20,2025-03-31,8267158,6440113,1000266,41289,0.499,4.128,FDIC
10179,Citizens Banking Group of Salt Lake City,Citizens Banking Group of Salt Lake City,Salt Lake City,UT,72873,N,Commercial,1864-07-26,2025-03-31,163941,127317,19436,2935,1.791,15.101,OCC
10180,Southern Pennsylvania Banking Group,Southern Pennsylvania Banking Group,Philadelphia,PA,40508,NM,Commercial,1995-06-25,2025-03-31,437226,321782,40723,1284,0.294,3.153,FDIC
10181,Pioneer Federal Savings of Orlando,Pioneer Federal Savings of Orlando,Orlando,FL,57026,SB,Savings,1920-10-11,2025-03-31,27328,24309,3797,488,1.786,12.852,FDIC
10182,First Savings Bank of Nashville,First Savings Bank of Nashville,Nashville,TN,10089,SA,Savings,2014-04-01,2025-03-31,690462,598864,95437,-11627,-1.684,-12.183,OCC
10183,Sovereign Michigan Federal Bank,Sovereign Michigan Federal Bank,Grand Rapids,MI,96787,SA,Savings,1953-02-12,2025-03-31,43260,37586,3517,622,1.439,17.686,OCC
10184,Lake Nebraska National Bank,Lake Nebraska National Bank,Lincoln,NE,32983,SM,Commercial,2017-06-08,2025-03-31,40644,32002,4439,446,1.099,10.047,FRB
10185,Citizens Montana Bank & Trust,First Horizon Corp.,Billings,MT,28434,SA,Savings,1916-11-19,2025-03-31,836109,650760,58384,13993,1.674,23.967,OCC
10186,Western Michigan National Bank,Western Michigan National Bank,Grand Rapids,MI,10167,SM,Commercial,1877-06-09,2025-03-31,32533467,29039890,3910570,70998,0.218,1.816,FRB
10187,Community Banking Group of San Francisco,Community Banking Group of San Francisco,San Francisco,CA,14379,NM,Commercial,1901-08-03,2025-03-31,65568711,50864436,5644529,814069,1.242,14.422,FDIC
10188,First Maine Savings Bank,First Maine Savings Bank,Portland,ME,95673,N,Commercial,1983-12-01,2025-03-31,64801,50226,7311,745,1.15,10.19,OCC
10189,Coastal Georgia Community Bank,Coastal Georgia Community Bank,Atlanta,GA,30131,SA,Savings,1960-10-18,2025-03-31,46941,36701,6362,-380,-0.811,-5.973,OCC
10190,Merchants Bank of San Francisco,Merchants Bank of San Francisco,San Francisco,CA,94130,NM,Commercial,1980-08-22,2025-03-31,98671,70983,11671,379,0.385,3.247,FDIC
10191,Community Pennsylvania Trust Company,Community Pennsylvania Trust Company,Philadelphia,PA,64262,NM,Commercial,1881-11-12,2025-03-31,44455,33459,4159,623,1.404,14.98,FDIC
10192,Trust Tennessee Financial,Trust Tennessee Financial,Nashville,TN,84905,NM,Commercial,1868-09-19,2025-03-31,88495,71424,9600,288,0.326,3.0,FDIC
10193,Coastal Washington Trust Company,Coastal Washington Trust Company,Seattle,WA,18783,SA,Savings,1897-10-09,2025-03-31,281276,206297,13039,3636,1.293,27.886,OCC
10194,Community Colorado Financial,Community Colorado Financial,Denver,CO,23133,NM,Commercial,2005-10-19,2025-03-31,56202,49650,6858,213,0.38,3.106,FDIC
10195,Lake National Bank of Hartford,Lake National Bank of Hartford,Hartford,CT,53449,SB,Savings,1962-01-13,2025-03-31,6769167,5096013,773860,57183,0.845,7.389,FDIC
10196,Trust Bank of Charleston,Trust Bank of Charleston,Charleston,WV,52056,N,Commercial,1894-05-24,2025-03-31,7248518,6258929,701807,25887,0.357,3.689,OCC
10197,Western Community Bank of Lexington,Western Community Bank of Lexington,Lexington,KY,78719,N,Commercial,1939-12-17,2025-03-31,77896,67363,9781,797,1.024,8.148,OCC
10198,First South Carolina Trust Company,First Horizon Corp.,Columbia,SC,87862,N,Commercial,1891-11-01,2025-03-31,1966829,1556331,240499,19829,1.008,8.245,OCC
10199,Patriot Banking Group of New York,Truist Financial Corp.,New York,NY,45269,SB,Savings,1914-04-21,2025-03-31,41432,31145,2690,648,1.566,24.089,FDIC
10200,Pacific Vermont Financial,Pacific Vermont Financial,Burlington,VT,70161,SM,Commercial,1930-07-13,2025-03-31,904858,719198,81791,10617,1.173,12.981,FRB
10201,First MS Community Bank,First MS Community Bank,Jackson,MS,38601,NM,Commercial,1959-06-15,2025-03-31,364239,309603,36423,4370,1.2,12.0,FDIC
